City,Covid Cases
Mangaldoi,5722
Renigunta,11214
Longowal,11360
Ratia,12802
Lalgudi,128568
Shrirangapattana,21860
Niwari,16129
Natham,128574
Unnamalaikadai,128553
Purquazi,86770
"Shamsabad, Farrukhabad",86735
Mirganj,29362
Todaraisingh,43774
Chengannur,30864
Warhapur,86751
Rajam,11252
Urmar Tanda,11234
Lonar,121193
Powayan,86712
vasudevanallur,128485
Palampur,15678
P.N.Patti,128526
Srisailam (RFC) Township,11204
Sindagi,21796
Vaikom,30853
Sandi,86698
Malda,44291
Tharangambadi,128482
Sakaleshapura,21790
Malkangiri,6727
Rapar,12258
Mauganj,15984
Todabhim,43676
Srinivaspur,21739
Murliganj,29197
Reengus,43648
Sawantwadi,121079
Tittakudi,128391
Lilong,5100
Rajaldesar,43617
Pathardi,121031
Pacode,128364
Achhnera,86582
Naraura,86614
Nakur,86553
Palai,30741
"Morinda, India",11123
Manasa,15897
Nainpur,15904
Sahaspur,86543
Pauni,49204
Prithvipur,49198
Silapathar,49196
Ramtek,49196
Songadh,12096
Safipur,86504
Sohagpur,15845
Mul,120967
Sadulshahar,43546
Phillaur,11027
Sambhar,43532
Prantij,43518
Nagla,7351
Pattran,11028
Mount Abu,43486
Reoti,86439
Tenu dam-cum-Kathhara,9049
Panchla,44039
Pasighat,4722
Motipur,28998
O' Valley,128242
Raghunathpur,44012
Suriyampalayam,128206
Qadian,10954
Silvassa,4337
Nowrozabad (Khodargama),15792
Mangrol,43439
Soyagaon,120815
Sujanpur,10892
Manihari,28988
Sikanderpur,86412
Laksar,7240
Mangalvedhe,120800
Ron,21451
Phulera,43376
Sholavandan,128165
Saidpur,86324
Shamgarh,15673
Thammampatti,128142
Maharajpur,15689
Chamoli Gopeshwar,7172
Multai,15665
Mukerian,10803
Sirsi,86286
Purwa,86282
Sheohar,28881
Namagiripettai,128064
Parasi,86282
Lathi,11884
Lalganj,86261
Narkhed,120712
Mathabhanga,43825
Shendurjana,120709
Peravurani,128007
Mariani,5009
Phulpur,86203
Rania,12249
Pali,43254
Pachore,15559
Parangipettai,127993
Pudupattinam,127979
Panniyannur,30334
Maharajganj,28805
Rau,15527
Monoharpur,43774
Mandawa,43179
Marigaon,5061
Pallikonda,127955
Pindwara,43180
Shishgarh,86204
Charthaval,86148
Patur,120580
Mayang Imphal,4600
Mhowgaon,15486
Guruvayoor,30259
Mhaswad,120594
Sahawar,86156
Sivagiri,127863
Mundargi,21150
Punjaipugalur,127874
Kailasahar,5316
Samthar,86079
Sakti,4571
Silao,28613
Mandalgarh,43069
Loha,120520
"Srinagar, Uttarakhand",6868
Pukhrayan,86052
Padmanabhapuram,127817
Belonia,5286
Bhusawar,43034
Saiha,4336
Inkollu,10409
Srirampore,43498
Talwara,10426
Gadarpur,6702
Sarsawa,85790
Puthuppally,29874
Khowai,4943
Landhaura,6540
Tanakpur,6367
Uttarkashi,6329
Vijaypur,14706
Takhatgarh,42384
Joshimath,6178
Owk,9767
Khatima,5864
Thirupuvanam,126745
Adra,42512
Piriyapatna,20007
Obra,84949
Vikasnagar,5631
Amaravathi,9112
Khanda,10570
Mahua Kheraganj,5348
Talbehat,84378
Adalaj,9983
Nandgaon,118705
Bagha Kusmar,26767
Dineshpur,5087
Jhabrera,5080
Kela Khera,5034
Muni Ki Reti,4949
Chhapra,9587
Panamattom,27977
Gavaravaram,8368
Sultanpur,4807
Herbertpur,4769
Rudraprayag,4698
Niwai,40807
Bageshwar,4635
Gochar,4606
Doiwala,4556
Tarbha,3566
Karnaprayag,4482
Sanivarapupeta,7971
Lohaghat,47588
Bhimtal,47565
Lalkuan,47557
Kaladhungi,47553
Naura,47541
Mahua Dabra Haripura,47522
Chandpara,47498
Dharchula,47490
Adyar,47489
Narsinghgarh,47456
Barkot,4158
Didihat,4114
Satrampadu,7631
Warud,117640
Asarganj,25710
Bhowali,4085
Shaktigarh,4083
Narendranagar,4029
Champawat,3765
Sarsod,8938
Bhaiseena,39579
Dwarahat,3350
Badrinath,3291
Dogadda,3284
Devprayag,3230
Nandaprayag,3128
Kirtinagar,3103
Kedarnath,2919
Gangotri,2816
Kumarganj,84614
