State,Type,Population,Female Population,Foreign Visitors,Covid Cases
1,8,892483,782708,4408916,3201
20,1,889810,783923,3104060,6031
3,1,877778,291001,4684707,4066
31,1,876824,291001,303118,9537
20,1,872575,291001,3104060,6480
25,1,862196,291001,242367,8783
27,1,837737,291001,66971,10586
3,1,831038,291001,4684707,13590
28,1,830281,291001,126078,8911
1,1,814655,291001,4408916,8440
1,1,798514,291001,4408916,34227
26,1,743556,291001,1475311,7067
21,1,743354,291001,237854,10239
1,1,711329,291001,4408916,10071
20,1,703345,291001,3104060,5514
20,1,671048,291001,3104060,12294
26,1,647804,568124,1475311,5054
1,1,646801,567891,4408916,7172
20,1,642381,568507,3104060,8842
33,1,631364,568228,167785,9711
5,1,625697,598792,6394,9179
27,1,606007,578131,66971,12265
20,1,603797,522284,3104060,1996
22,1,601574,584128,977479,11254
21,1,600869,544387,237854,9052
13,1,593768,502328,284973,3317
11,1,578420,482981,105882,6391
24,1,566937,543126,1489500,9572
24,1,564491,539089,1489500,10687
27,1,552734,526756,66971,11045
1,1,550564,482845,4408916,10652
1,1,549283,489411,4408916,30609
26,1,542580,466619,1475311,4967
1,1,537149,472154,4408916,4937
9,1,532031,490533,636502,8843
13,1,529308,451500,284973,3807
18,1,515215,476574,421365,2095
20,1,512296,441087,3104060,9634
24,1,509709,487792,1489500,9179
20,1,507293,440838,3104060,5440
1,1,506937,446105,4408916,9846
17,1,503690,457351,58568,7697
1,1,502697,436844,4408916,10070
9,1,499486,465021,636502,10418
3,1,498129,455788,4684707,4205
9,1,488292,464854,636502,8751
3,1,478134,437971,4684707,8786
3,1,473637,429589,4684707,10774
1,1,471006,410246,4408916,9398
14,1,463454,424987,923737,8429
22,1,460468,441589,977479,19818
26,1,451735,396172,1475311,2648
21,1,443028,387650,237854,10140
9,1,435128,406410,636502,12486
22,1,432097,416542,977479,7682
24,1,429423,408381,1489500,9502
24,1,423806,405582,1489500,8797
21,1,419818,379935,237854,9403
33,1,413934,368815,167785,2774
24,1,410524,392871,1489500,8797
9,1,409644,386704,636502,9809
25,1,405164,358975,242367,7729
24,1,404991,384741,1489500,9871
10,1,399688,390495,34886,10933
14,1,398138,364694,923737,10250
20,1,392451,344180,3104060,3103
24,1,390467,374458,1489500,11114
24,1,383522,363195,1489500,10218
1,1,382754,332996,4408916,11510
1,1,376093,334347,4408916,10233
21,1,374260,333091,237854,8891
31,1,373133,315671,303118,3798
18,1,370296,337710,421365,1410
5,1,363210,353403,6394,1285
26,1,360009,311768,1475311,2458
27,1,355823,336253,66971,10197
14,1,351838,323691,923737,10662
1,1,350905,313358,4408916,26912
20,1,349336,301826,3104060,2976
22,1,349033,338911,977479,6147
3,1,344701,318159,4684707,8484
21,1,343054,318697,237854,10024
24,1,336579,322106,1489500,9561
27,1,335761,317966,66971,3734
5,1,330106,318882,6394,449
20,1,327975,290258,3104060,4303
1,1,326789,284306,4408916,21674
9,1,326360,309389,636502,10608
21,1,325300,297324,237854,9862
20,1,325248,285893,3104060,4172
9,1,322428,307274,636502,9141
1,1,321036,278980,4408916,4697
13,1,320250,273173,284973,2081
22,1,315596,304866,977479,6235
26,1,315310,276527,1475311,8677
24,1,314638,302367,1489500,9985
24,1,313977,297336,1489500,9083
28,1,310467,290597,126078,4424
1,1,307191,268485,4408916,3811
9,1,305821,291001,636502,10272
28,1,305000,291001,126078,4316
31,9,301249,291001,303118,3315
4,1,300028,291001,106153,11537
14,1,296889,291001,923737,9632
31,1,294150,243850,303118,5255
14,1,294116,268822,923737,9131
24,1,291972,280585,1489500,8833
19,1,291822,284526,798,887
18,1,289438,265125,421365,877
1,1,287570,255362,4408916,8517
31,1,286974,235319,1457945,4738
25,1,285813,250086,1457945,3630
1,1,285349,248539,1457945,5595
21,1,283648,258403,1457945,9465
24,1,283443,267854,1457945,9064
15,1,282598,244730,1457945,9343
14,1,280547,260628,1457945,8910
18,1,280248,258108,1457945,759
20,1,279060,248363,1457945,1958
31,1,277053,229123,1457945,5498
20,1,275750,245418,1457945,1652
5,1,268679,255245,1457945,10251
6,1,264986,259951,1457945,10585
18,1,264810,242036,1457945,1387
20,1,262801,227848,1457945,2040
14,1,261099,240994,1457945,9221
21,1,261004,230206,1457945,8459
28,1,260899,242375,1457945,6245
20,1,256838,227302,1457945,2887
1,1,254003,221237,1457945,8701
24,1,253625,241197,1457945,10261
26,1,252109,218074,1457945,3877
14,1,251136,233054,1457945,8901
15,1,249998,218998,1457945,8051
13,1,248705,216373,1457945,10082
24,1,248466,238030,1457945,9571
3,1,248059,224493,1457945,10488
4,1,241773,251927,1457945,9995
26,1,237579,203843,1457945,2962
3,1,237374,217197,1457945,8776
18,1,235422,218707,1457945,1021
20,1,233691,201208,1457945,1945
9,1,232456,218044,1457945,9096
26,1,229956,198452,1457945,4459
28,1,229644,210813,1457945,9538
16,1,229136,206452,1457945,9361
11,1,228832,192677,1457945,5989
21,1,228025,203854,1457945,10003
21,1,225982,202480,1457945,10383
3,1,224849,204837,1457945,10193
26,1,224773,191057,1457945,7812
15,1,224666,190966,1457945,7812
33,1,223805,202544,1457945,10126
3,1,222943,202209,1457945,7906
20,1,222519,192256,1457945,2797
24,1,222240,210461,1457945,9840
18,1,221883,202801,1457945,571
20,1,220813,196744,1457945,1845
18,1,220257,203077,1457945,438
13,1,218095,188870,1457945,8997
28,1,217910,203528,1457945,9705
24,1,217900,208095,1457945,9923
31,1,216677,182659,1457945,2601
24,1,215514,204954,1457945,9881
3,1,215417,197537,1457945,8795
9,1,214373,197652,1457945,5261
14,1,213303,195812,1457945,9171
31,1,211355,177327,1457945,3632
18,1,210886,193593,1457945,595
27,1,210317,202325,1457945,10380
24,1,207604,199507,1457945,11137
3,1,207327,188253,1457945,7681
13,1,206167,174211,1457945,9792
9,1,206167,189880,1457945,10673
15,1,205596,179691,1457945,9779
24,1,205521,196273,1457945,5368
21,1,204746,189390,1457945,10720
33,1,203123,182201,1457945,1689
14,1,202352,187378,1457945,9991
24,1,200827,189782,1457945,9441
18,1,200738,185281,1457945,1121
21,1,200516,184475,1457945,9191
18,1,200482,184844,1457945,2220
20,1,198471,174853,1457945,2081
13,1,198282,168936,1457945,8852
18,1,197585,183359,1457945,677
15,1,197148,171124,1457945,9712
24,1,196127,185340,1457945,9441
31,1,196057,161943,1457945,8911
24,1,195223,187024,1457945,11103
31,1,195153,160416,1457945,7883
13,1,194947,169799,284973,9049
20,1,193193,168271,3104060,1692
20,1,191316,168932,3104060,9174
20,1,190400,167933,3104060,8107
21,1,189332,166801,237854,8801
1,1,187421,166055,4408916,9205
20,1,187137,166739,3104060,9613
20,1,186223,164807,3104060,2473
33,1,186139,168642,167785,9775
3,1,185803,171496,4684707,12234
13,1,184991,156687,284973,8800
24,1,183612,174064,1489500,10608
31,1,182534,150591,303118,8901
14,1,182429,166558,923737,9486
24,1,181842,172386,1489500,9850
15,1,181554,157952,2379169,8344
18,1,180935,169174,421365,428
20,1,180362,159440,3104060,4236
1,1,180020,159318,4408916,8134
18,1,179977,168099,421365,1450
13,1,177851,154908,284973,8005
20,1,177658,152964,3104060,2713
24,1,177259,168042,1489500,10608
22,1,174164,168765,977479,7308
22,1,172878,169939,977479,5611
21,1,169892,151204,237854,9958
23,1,169578,158895,406108,10485
21,1,166537,149217,237854,9309
9,1,165401,153823,636502,13751
14,1,164937,150423,923737,8747
21,1,163600,143641,237854,8771
28,1,158000,145676,126078,10317
3,5,157628,144545,4684707,7521
14,1,155175,140744,923737,8699
16,1,154296,141335,24720,8419
16,1,153889,141116,24720,10627
33,1,153599,139929,167785,9829
21,1,151835,134829,237854,8162
26,5,150298,131360,1475311,10128
24,5,149769,142730,1489500,9521
16,1,148496,130973,24720,8811
14,1,147396,135310,923737,9538
14,1,310283,136239,923737,9991
33,1,310283,129607,167785,8300
21,1,310283,126629,237854,9602
3,1,310283,128711,4684707,10283
16,1,310283,127221,24720,10557
14,1,310283,124321,923737,9061
21,1,310283,121559,237854,8951
14,1,310283,124374,923737,9980
14,1,132896,123593,923737,10406
33,1,132441,118800,167785,10036
16,1,126389,113624,24720,8263
21,1,126270,117179,237854,10754
21,1,125939,111456,237854,8134
14,1,125183,114668,923737,9151
25,9,122302,106647,242367,8363
21,1,121874,108346,237854,8881
33,1,120325,107932,167785,8244
21,1,118167,105169,237854,8536
25,1,117966,103102,242367,9430
3,1,116821,105606,4684707,10476
21,1,116250,104858,237854,9372
28,1,115250,105684,126078,3148
28,1,109891,102968,126078,8612
21,1,108171,97246,237854,8263
3,1,106714,97750,4684707,9517
14,1,105782,97531,923737,8843
14,1,105221,95015,923737,8300
20,1,104271,90611,3104060,4764
21,1,104000,93080,237854,8584
21,1,103906,91333,237854,10186
21,1,103000,90125,237854,9790
14,1,102591,93973,923737,9883
16,1,102505,92665,24720,10476
14,1,102456,94157,923737,10283
14,1,101520,91673,923737,27667
12,1,100286,89154,38479,8171
22,5,100058,96356,977479,2790
29,8,99984,87586,14674,2538
14,12,99979,90081,923737,2520
7,21,99677,97883,541480,2943
16,6,99448,90995,24720,2285
18,5,99329,91681,421365,2490
32,7,99039,91710,2769,1531
27,5,98238,93031,66971,2676
14,13,98029,89402,923737,2551
27,5,97730,92844,66971,2276
28,5,96877,89805,126078,2686
28,5,96470,89910,126078,2797
3,5,96253,88264,4684707,8990
1,8,95994,84571,4408916,2464
25,8,95553,83896,242367,2105
20,6,95516,82239,3104060,2064
3,5,95335,87422,4684707,2382
20,14,95246,83055,3104060,2091
21,5,95149,86015,237854,2258
3,5,95061,86791,4684707,2189
18,5,95012,87981,421365,2220
3,5,94453,87180,4684707,2121
7,21,94383,91835,541480,3014
1,8,92637,82076,4408916,2567
18,21,92518,86504,421365,947
18,21,92364,84328,421365,2372
25,8,91979,80114,242367,2523
26,21,91853,79453,1475311,2247
1,8,91379,80870,4408916,2210
28,21,310283,85329,126078,2240
20,6,310283,78978,3104060,1591
18,5,310283,82348,421365,358
9,3,310283,85316,636502,2473
21,5,310283,83080,237854,2599
1,21,310283,78110,4408916,2374
1,8,310283,78532,4408916,2481
20,6,310283,78442,3104060,2301
28,5,310283,82773,126078,1043
3,5,88430,81179,4684707,2660
20,6,88161,76788,3104060,2262
33,12,87867,79256,167785,2343
3,5,87722,79125,4684707,2523
22,5,87495,85220,977479,3017
14,12,87357,79408,923737,2452
14,21,87279,80471,923737,2579
21,5,87200,78131,237854,2506
13,5,87183,74367,284973,2386
4,5,86838,291001,106153,1222
31,8,86770,291001,303118,2190
21,5,86519,291001,237854,2123
5,5,85650,291001,6394,2208
25,8,85435,291001,242367,1775
33,4,85075,291001,167785,2605
13,5,84545,291001,284973,1985
3,5,84321,291001,4684707,2523
18,5,84261,291001,421365,472
26,5,83846,291001,1475311,2506
13,5,83715,291001,284973,2016
25,8,83655,291001,242367,2086
25,8,82956,291001,242367,2470
21,5,82336,291001,237854,2130
5,5,82111,291001,6394,2502
18,5,81828,291001,421365,2293
26,5,81394,291001,1475311,1978
27,5,80625,291001,66971,4038
28,5,80315,291001,126078,2820
33,5,80154,291001,167785,2225
24,5,79885,291001,1489500,4025
28,5,79819,291001,126078,2128
9,3,79394,291001,636502,2232
9,3,79121,291001,636502,2741
18,5,79106,291001,421365,525
14,12,79021,291001,923737,2208
11,21,78805,291001,105882,1919
18,5,78624,291001,421365,779
33,16,78396,291001,167785,2061
3,5,78395,291001,4684707,2163
1,8,78387,291001,4408916,2175
25,8,77989,291001,242367,2600
28,5,77553,291001,126078,2610
25,8,76492,291001,242367,1277
13,5,76193,291001,284973,2184
9,3,76068,291001,636502,2663
21,5,75925,291001,237854,2187
13,5,75755,291001,284973,2210
25,8,75549,291001,242367,3598
22,5,75295,291001,977479,2716
8,5,74858,291001,8027,2871
31,8,74581,291001,303118,1937
25,8,74460,291001,242367,2439
9,3,74294,291001,636502,2549
1,8,73975,291001,4408916,2374
13,5,73928,291001,284973,2375
13,5,73774,291001,284973,2148
27,11,73625,291001,66971,2370
3,5,73585,291001,4684707,2582
22,5,310283,291001,977479,2744
13,5,310283,291001,284973,2016
3,5,310283,291001,4684707,2213
25,8,310283,291001,242367,2523
3,5,310283,291001,4684707,2258
22,5,310283,291001,977479,2892
25,8,310283,291001,242367,900
22,5,72465,291001,977479,2895
1,8,72401,291001,4408916,2490
21,5,72348,291001,237854,2351
21,4,72297,291001,237854,2192
3,5,72296,291001,4684707,13576
22,5,71873,291001,977479,2995
16,6,71782,291001,24720,2471
3,5,70980,291001,4684707,2053
3,5,70859,291001,4684707,2184
21,5,70854,291001,237854,2441
22,5,70850,291001,977479,2913
21,5,70777,291001,237854,2576
31,8,70777,291001,303118,1902
25,8,70765,291001,242367,2031
3,5,70574,291001,4684707,2562
3,5,70545,291001,4684707,6092
1,8,70383,291001,4408916,2355
9,3,70248,291001,636502,2230
20,6,69867,291001,3104060,2185
33,14,69565,291001,167785,2546
5,9,69307,291001,6394,2486
28,5,69088,291001,126078,2315
27,5,69045,291001,66971,2630
22,5,68634,291001,977479,2916
18,12,68080,291001,421365,2674
25,8,67972,291001,242367,2570
20,6,67751,291001,3104060,2029
27,5,67414,291001,66971,2398
1,8,67391,291001,4408916,2495
14,12,67339,291001,923737,2119
16,6,67322,291001,24720,2403
3,5,67231,291001,4684707,2444
1,8,67116,291001,4408916,2382
17,21,66963,291001,58568,2534
20,6,66907,291001,3104060,1983
25,8,66847,291001,242367,1103
20,21,66597,291001,3104060,2286
28,5,66596,291001,126078,2313
9,21,66550,291001,636502,2607
27,5,66540,291001,66971,2587
28,5,66504,291001,126078,2514
14,5,66340,291001,923737,2585
24,5,66175,291001,1489500,2747
3,5,66000,291001,4684707,2273
31,7,65708,291001,303118,2274
26,5,65575,291001,1475311,2067
3,5,65533,291001,4684707,2196
9,21,65335,291001,636502,2568
28,5,65314,291001,126078,2242
24,5,65306,291001,1489500,2363
25,8,65240,291001,242367,2425
18,5,65232,291001,421365,2323
24,5,65232,291001,1489500,3076
28,5,65115,291001,126078,2677
21,5,65000,291001,237854,2073
3,21,64725,58964,4684707,4066
3,5,64125,59123,4684707,3506
31,7,63871,53779,303118,2355
9,3,63652,59451,636502,2240
26,5,63486,54281,1475311,2477
16,6,63388,56289,24720,2129
14,13,63248,58694,923737,2225
13,5,63073,53171,284973,2190
20,6,63005,54499,3104060,2074
26,5,62699,54674,1475311,2526
21,5,62253,56837,237854,2098
30,17,62153,56373,4684707,2628
31,8,62090,51473,303118,2402
3,5,62050,57086,4684707,5132
20,14,62039,53664,3104060,2160
14,21,61998,56666,923737,2374
20,14,61990,54923,3104060,2390
1,8,61958,54771,4408916,2561
26,5,61949,53958,1475311,2436
28,5,61809,57235,126078,3151
24,5,61806,58654,1489500,2750
16,18,61797,54938,24720,2576
24,5,61712,58380,1489500,334
1,8,61694,53797,4408916,2439
22,5,61632,59660,977479,2901
22,5,61632,59598,977479,3092
20,14,61444,53579,3104060,2352
9,19,61262,57219,636502,2706
3,5,61133,55876,4684707,2283
1,8,61012,54301,4408916,2490
28,5,310283,57170,126078,1634
21,5,310283,54320,237854,2327
27,5,310283,57076,66971,2259
18,21,310283,55154,421365,2548
21,4,310283,55373,237854,2295
22,5,310283,57694,977479,2874
27,5,310283,56580,66971,2355
16,6,310283,54610,24720,2280
21,5,59725,52200,237854,2445
18,5,59654,55061,421365,2213
9,3,59543,54839,636502,2392
3,5,59523,53749,4684707,2165
21,5,59272,53226,237854,2512
27,11,58884,56234,66971,2385
1,8,58840,51426,4408916,2096
13,5,58775,49665,284973,2448
21,5,58770,54068,237854,2114
21,5,58590,54254,237854,2220
16,6,58559,52762,24720,2250
13,5,58528,50510,284973,2069
21,5,58462,53025,237854,2265
18,21,58342,53791,421365,2211
3,5,58301,52529,4684707,4816
13,21,58194,49290,284973,1946
20,6,58184,51435,3104060,2384
26,5,58119,49924,1475311,1974
18,21,57818,53424,421365,2677
27,5,57759,55506,66971,2208
1,8,57698,51178,4408916,2481
21,5,57640,52914,237854,2568
28,5,57583,53149,126078,2674
5,5,57537,55005,6394,2197
21,5,57246,51006,237854,2314
28,5,57113,53229,126078,4023
13,5,57108,49741,284973,2523
19,15,57011,55244,798,2420
16,6,56854,51169,24720,2068
22,5,56823,55346,977479,2822
21,5,56819,50796,237854,2054
14,5,56615,52312,923737,2123
1,8,56435,49211,4408916,2178
1,8,56380,49671,4408916,2288
13,21,56320,48660,284973,2158
25,21,56251,49838,242367,2478
24,5,56175,53647,1489500,2767
3,5,56074,51196,4684707,27416
11,14,56044,47693,105882,528
20,6,55950,48844,3104060,2006
27,5,55925,52514,66971,2345
28,5,55841,51820,126078,2318
13,5,55821,47169,284973,2364
26,5,55687,48448,1475311,2347
4,5,55626,291001,106153,2351
22,5,55374,53436,977479,2796
3,5,55346,50697,4684707,2654
25,8,55225,48598,242367,2198
9,3,55194,51827,636502,2252
3,5,55145,49851,4684707,3004
11,14,54787,45638,105882,2330
18,5,54331,50365,421365,2315
22,5,54172,52872,977479,2828
13,5,54135,45582,284973,2187
21,5,54125,50228,237854,2411
14,5,54085,48677,923737,2248
22,5,54071,52341,977479,2805
1,8,53971,47279,4408916,2013
16,6,53854,48415,24720,2605
31,7,53811,44771,303118,2161
22,5,53792,51802,977479,2983
14,11,53618,48363,923737,2523
21,5,53602,48724,237854,2543
21,5,53530,47213,237854,2203
16,6,53430,48408,24720,2172
21,5,53425,46747,237854,2535
26,5,53392,45330,1475311,2460
28,5,53339,49499,126078,2689
21,5,53231,46524,237854,2270
25,2,53199,47081,242367,2564
28,5,53143,49264,126078,891
11,14,52971,44125,105882,1997
22,5,52883,51455,977479,2819
20,6,52880,46693,3104060,2205
1,8,52677,45882,4408916,2001
1,8,52423,45713,4408916,2004
28,5,52394,48464,126078,2310
21,5,52110,47368,237854,2270
18,21,52057,47528,421365,2554
22,5,52045,50588,977479,2816
17,8,51991,47208,58568,2359
13,5,51944,45035,284973,2339
14,12,51849,47183,923737,2273
21,5,51708,45865,237854,2215
20,14,51670,291001,1457945,2291
26,21,51640,44927,1475311,2260
21,5,51404,46058,237854,2238
9,19,51336,47383,636502,2305
1,4,51297,44628,4408916,2434
3,5,51194,47150,4684707,2208
13,5,51147,43731,284973,2306
26,5,51000,44472,1475311,2265
26,2,50804,44504,1475311,2275
1,8,50800,44348,4408916,2442
24,5,50613,48234,1489500,2380
9,19,50598,47360,636502,2338
11,14,50523,42995,105882,2465
14,5,50475,46942,923737,2323
20,14,50423,43767,3104060,2515
14,12,50179,45462,923737,2353
9,19,50131,47123,636502,2536
21,5,50103,45393,237854,2625
9,19,50088,46281,636502,2216
28,4,50087,46230,126078,2582
14,12,50080,46224,923737,2582
31,14,49985,41038,303118,2132
33,5,49985,45236,167785,2351
21,12,49899,46107,237854,2308
26,5,49835,291001,1475311,2378
1,8,49826,44146,4408916,2478
25,8,49825,43447,242367,2265
28,5,49764,45733,126078,2571
21,5,49714,44345,237854,2584
1,8,49696,44031,4408916,2390
22,5,49525,47940,977479,2805
14,13,49507,45695,923737,2305
13,5,49308,42454,284973,2322
21,5,49221,43708,237854,2307
18,5,49173,45387,421365,2213
25,8,49159,43899,242367,2052
14,12,49069,44506,923737,2537
18,5,48941,45417,421365,2132
27,5,48911,46563,66971,2568
20,6,48899,42347,3104060,2076
21,4,48658,45252,237854,2602
21,5,48354,43083,237854,2581
20,14,48337,42633,3104060,2027
20,6,48314,42613,3104060,2379
1,8,48289,42301,4408916,2188
33,4,48141,43327,167785,2428
9,19,48070,44561,636502,2223
25,2,47845,41529,242367,2081
20,14,47834,42237,3104060,2029
22,5,47685,46207,977479,2808
21,5,47638,43446,237854,2642
33,11,47584,42493,167785,2409
20,21,47575,41248,3104060,2252
1,8,47458,41573,4408916,2450
33,5,47326,42877,167785,2353
27,5,47294,44882,66971,2276
3,5,47241,42564,4684707,2430
22,5,47235,46243,977479,2739
27,5,47006,44515,66971,2460
13,5,46960,39681,284973,2279
3,5,46678,42897,4684707,2295
25,8,46592,40488,242367,2257
1,8,46532,41553,4408916,2230
22,4,46366,45114,977479,2722
3,5,46330,42670,4684707,2576
11,6,46205,38766,105882,2012
21,12,46069,41001,237854,2490
25,8,46024,41376,242367,2335
6,8,45947,44982,3260,2445
21,5,45858,41547,237854,2082
9,19,45858,43015,636502,2155
22,5,45827,43994,977479,2877
28,4,45675,42112,126078,2487
21,5,45520,41378,237854,2089
33,12,45508,41367,167785,2089
1,8,45333,39712,4408916,2538
14,5,45031,40888,923737,2449
1,8,44869,39171,4408916,2180
26,21,44868,38362,1475311,2306
3,5,44781,41064,4684707,2474
25,21,44665,39350,242367,2200
22,5,44612,43318,977479,2910
24,5,44601,42193,1489500,2741
27,5,44390,42171,66971,2278
20,6,44383,38835,3104060,2360
5,5,44363,43165,6394,2430
21,12,44314,39085,237854,2555
22,5,44313,42762,977479,2892
20,14,44255,38856,3104060,2193
3,20,44098,39953,4684707,2534
9,19,44033,42007,636502,2383
1,8,44029,38437,4408916,2268
13,5,43881,37650,284973,2143
1,8,43867,38120,4408916,2431
21,5,43809,40699,237854,2228
9,19,43622,41572,636502,2285
27,5,43594,41501,66971,2188
14,5,43113,39621,923737,2479
27,5,43097,40597,66971,2353
24,5,42998,41235,1489500,579
9,20,42919,39528,636502,2116
1,8,42822,37897,4408916,2387
13,5,42769,36995,284973,2247
16,6,42649,38214,24720,2596
21,5,42539,39561,237854,2137
9,19,42461,39192,636502,2490
18,5,42461,39107,421365,2576
13,5,42355,36256,284973,2052
13,5,42351,36422,284973,2406
18,5,42179,39226,421365,2323
1,8,42167,37655,4408916,2320
22,5,42029,40600,977479,2895
26,5,42016,35882,1475311,2389
3,5,42012,38273,4684707,2548
16,6,41989,37034,24720,2467
11,14,41965,35796,105882,2216
14,6,41958,37804,923737,2430
28,12,41945,38547,126078,2204
14,14,41877,37982,923737,2175
28,12,41752,38495,126078,2671
14,5,41610,37740,923737,2447
17,11,41552,36981,58568,2045
3,20,41499,37972,4684707,2103
11,14,41377,35170,105882,3695
21,5,41370,37068,237854,2506
1,8,41296,36712,4408916,2398
25,8,310283,36314,242367,2027
9,19,310283,38180,636502,2320
17,6,310283,37339,58568,2184
18,5,310283,38025,421365,2228
1,4,310283,36509,4408916,2587
27,5,310283,39248,66971,2784
22,5,310283,39547,977479,3007
26,21,310283,34948,1475311,2064
18,5,40580,37415,421365,2487
5,5,40561,39344,6394,2810
7,8,40487,39232,541480,2808
3,5,40359,36807,4684707,2369
26,5,40252,35221,1475311,2535
3,21,40220,36238,4684707,2520
1,8,39851,35188,4408916,2029
13,5,39789,34338,284973,2069
21,5,39667,34828,237854,2281
3,20,39514,36076,4684707,2372
20,14,39241,33826,3104060,2325
13,21,39205,33873,284973,1985
20,6,38999,33773,3104060,2163
9,19,38907,36145,636502,2320
26,5,38883,32973,1475311,2287
20,14,38806,34382,3104060,2301
22,5,38652,37222,977479,2886
14,6,38554,34891,923737,2622
1,8,38554,33503,4408916,2431
27,5,38421,36116,66971,2254
24,5,38263,36732,1489500,2590
9,19,38155,35217,636502,2213
22,5,38009,36603,977479,2694
9,19,37988,35139,636502,2403
3,20,37968,34817,4684707,2199
9,3,37947,35139,636502,2683
1,8,37945,33847,4408916,2584
20,6,37938,33158,3104060,2270
18,5,37870,34613,421365,2648
21,5,37802,34211,237854,2170
3,5,37802,34286,4684707,2628
1,8,37715,33679,4408916,2052
22,4,37699,36455,977479,2995
3,20,37631,34621,4684707,2390
9,19,37613,34642,636502,2208
27,5,37527,35538,66971,2649
32,18,37447,34863,2769,2697
21,5,37420,33865,237854,2532
14,5,37370,34119,923737,2554
22,5,37346,36450,977479,3023
31,7,37289,30913,303118,1988
20,6,37233,32988,3104060,2478
9,19,37232,34663,636502,2232
14,11,37000,34003,923737,2663
25,8,36973,32277,242367,2268
13,5,36954,31263,284973,1944
24,5,36947,34915,1489500,2172
4,5,36828,37528,106153,2851
16,6,36805,33125,24720,2158
20,6,36776,32694,3104060,2220
